"","latitude","longitude","parameter_name","method_name","year","arithmetic_mean","arithmetic_standard_dev","state_name"
"71",32.820061,-96.860117,"Total NMOC (non-methane organic compound)","6L SS CANISTER-PRESSURIZED - CRYOGENIC PRECON FLAME IONI(PDFID)",1987,507,194.578176,"Texas"
"72",31.768291,-106.50126,"Total NMOC (non-methane organic compound)","6L SS CANISTER-PRESSURIZED - CRYOGENIC PRECON FLAME IONI(PDFID)",1987,397.571429,253.163884,"Texas"
"73",32.791194,-116.942092,"Total NMOC (non-methane organic compound)","6L SS CANISTER-PRESSURIZED - CRYOGENIC PRECON FLAME IONI(PDFID)",1987,350.666667,125.035462,"California"
"74",33.127711,-117.075325,"Total NMOC (non-methane organic compound)","INSTRUMENTAL - FLAME IONIZATION",1987,326.11997,427.048521,"California"
"75",34.451931,-120.458773,"Wind Direction - Scalar","INSTRUMENTAL - ELECTRONIC OR MACHINE AVERAGE",1987,246.999873,111.281042,"California"
"76",34.451931,-120.458773,"Wind Direction - Resultant","INSTRUMENTAL - VECTOR SUMMATION",1987,245.643794,111.717585,"California"
"77",34.402773,-119.458454,"Wind Direction - Scalar","INSTRUMENTAL - ELECTRONIC OR MACHINE AVERAGE",1987,245.634996,86.989366,"California"
"78",34.402773,-119.458454,"Wind Direction - Resultant","INSTRUMENTAL - VECTOR SUMMATION",1987,244.711902,88.21277,"California"
"79",32.836461,-117.128752,"Total NMOC (non-methane organic compound)","INSTRUMENTAL - FLAME IONIZATION",1987,243.631202,160.754597,"California"
"80",37.765946,-122.399044,"Total NMOC (non-methane organic compound)","6L SS CANISTER-PRESSURIZED - CRYOGENIC PRECON FLAME IONI(PDFID)",1987,239.666667,69.465579,"California"
"81",34.974144,-120.569614,"Wind Direction - Resultant","INSTRUMENTAL - VECTOR SUMMATION",1987,227.606655,94.736283,"California"
"82",34.402773,-119.458454,"Wind Direction - Scalar","INSTRUMENTAL - ELECTRONIC OR MACHINE AVERAGE",2017,226.445367,95.729873,"California"
"83",32.820061,-96.860117,"Wind Direction - Resultant","INSTRUMENTAL - VECTOR SUMMATION",1987,223.607654,75.771162,"Texas"
"84",34.718871,-120.432663,"Wind Direction - Scalar","INSTRUMENTAL - ELECTRONIC OR MACHINE AVERAGE",2017,221.413514,118.574229,"California"
"85",34.452209,-120.421549,"Wind Direction - Scalar","INSTRUMENTAL - ELECTRONIC OR MACHINE AVERAGE",1987,221.055235,119.685569,"California"
"86",34.452209,-120.421549,"Wind Direction - Resultant","INSTRUMENTAL - VECTOR SUMMATION",1987,220.391095,120.192481,"California"
"87",42.566455,-82.972668,"Wind Direction - Resultant","INSTRUMENTAL - VECTOR SUMMATION",2017,219.944915,92.922125,"Michigan"
"88",34.718871,-120.432663,"Wind Direction - Resultant","INSTRUMENTAL - VECTOR SUMMATION",2017,219.185386,120.897107,"California"
"89",34.841567,-118.860588,"Wind Direction - Resultant","INSTRUMENTAL - VECTOR SUMMATION",2017,219.143102,94.294187,"California"
"90",36.844096,-121.362121,"Wind Direction - Scalar","Instrumental - RM Young Sonic Anemometer 85004",2017,217.444496,83.386728,"California"
"91",32.469701,-97.169271,"Wind Direction - Resultant","INSTRUMENTAL - VECTOR SUMMATION",2017,215.358333,96.437163,"Texas"
"92",43.168336,-83.461541,"Wind Direction - Resultant","INSTRUMENTAL - VECTOR SUMMATION",2017,214.166667,48.332784,"Michigan"
"93",32.442304,-97.803529,"Wind Direction - Resultant","INSTRUMENTAL - VECTOR SUMMATION",2017,212.485442,96.939287,"Texas"
"94",34.478045,-120.211816,"Wind Direction - Scalar","INSTRUMENTAL - ELECTRONIC OR MACHINE AVERAGE",1987,211.612389,112.275579,"California"
